ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Convertible bonds (Bn. VND)
AAA,2015,1,691350924610,216882657990,30000000000,209994544135,154212536871,80261185614,722531450269,0.0,671346983470,0.0,41202585521.0,,9981881278,1413882374879,632482881668,529156466446,103326415222,771794605043,771794605043,0.0,181340412661,,0,1413882374879,104113487342,0.0,154212536871,47850401253.0,31389007730.0,396000000000,396000000000,103326415222,6410667577,392790172173,0.0,10013752455,0.0,0.0,0,0.0
AAA,2014,4,694379188147,336807716067,30000000000,154088536599,137522087909,35960847572,727271546766,0.0,679968837985,0.0,39205453451.0,,8097255330,1421650734913,635324911650,507673920248,127650991402,776936974055,776936974055,0.0,187992781673,,0,1421650734913,4571973920,0.0,137522087909,25204099470.0,15755216989.0,396000000000,396000000000,127650991402,6541650794,329022191692,0.0,8061140389,0.0,0.0,0,0.0
AAA,2014,3,441059727571,104024469754,0,145197955192,141326768113,50510534512,701541478555,0.0,652868586374,0.0,39172771967.0,,9500120214,1142601206126,571668228902,440352174720,131316054182,561727990497,561727990497,0.0,187351438895,,0,1142601206126,26571394643,0.0,141326768113,42111508031.0,15755216989.0,198000000000,198000000000,131316054182,9590207932,318292304630,0.0,9314846585,1500000000.0,0.0,0,0.0
AAA,2014,2,406776245149,57789248387,0,129994446521,179747992272,39244557969,696792883204,0.0,648679387271,0.0,37536174745.0,,10577321188,1103569128353,529062762156,424331751504,104731010652,565521468477,565521468477,0.0,192209345495,,0,1103569128353,39225532858,0.0,179747992272,18319538031.0,15400407449.0,198000000000,198000000000,104731010652,11139091214,269104313740,0.0,10393015759,1500000000.0,0.0,0,0.0
AAA,2014,1,403306120513,50406413396,0,147410503081,178935556223,26553647813,664481007317,0.0,612891750948,0.0,40989575712.0,,10599680657,1067787127830,500924849932,410165764580,90759085352,558109545708,558109545708,0.0,192245234726,,0,1067787127830,69112226534,0.0,178935556223,10857766629.0,13209874449.0,198000000000,198000000000,90759085352,11713783029,289173202320,0.0,10503756060,1500000000.0,0.0,0,0.0
AAA,2013,4,495025008321,130266723762,0,146942387955,200025997066,17789899538,655544196312,0.0,605159756298,0.0,39255796179.0,,11128643835,1150569204633,598551168719,515468247067,83082921652,543446500724,543446500724,0.0,177582189742,,0,1150569204633,55117289723,0.0,200025997066,5865465303.0,13209874449.0,198000000000,198000000000,83082921652,11351552129,334296710948,0.0,10848566137,1500000000.0,0.0,0,0.0
AAA,2013,3,352899625524,38081355707,0,137282401637,143977295491,33558572689,596465285533,0.0,551031522063,0.0,36336066400.0,,9097697070,949364911057,410005064447,333218175997,76786888450,530809006041,530809006041,0.0,164944695059,,0,949364911057,79148043261,0.0,143977295491,16291895210.0,13209874449.0,198000000000,198000000000,76786888450,12216056480,196660739668,0.0,8999904768,1500000000.0,0.0,0,0.0
AAA,2013,2,440894751500,45884372462,0,200967343609,177069168313,16973867116,511470322422,0.0,439511489713,0.0,63945437080.0,,8013395629,952365073922,426365339004,379146099004,47219240000,517619756748,517619756748,0.0,151755445766,,0,952365073922,122482786772,0.0,177069168313,11924418013.0,13209874449.0,198000000000,198000000000,47219240000,7629760644,285441761848,0.0,7809819862,1500000000.0,0.0,0,0.0
AAA,2013,1,402140441113,96503117149,0,111203277078,154881323996,39552722890,473817361846,0.0,435828383571,0.0,30600000000.0,,7388978275,875957802959,332835204760,320273204760,12562000000,534882291065,534882291065,0.0,177335613484,,0,875957802959,41671567327,0.0,154881323996,25994612226.0,10408445862.0,198000000000,198000000000,12562000000,5102591145,260875797874,0.0,7123035747,1500000000.0,0.0,0,0.0
CTR,2024,4,5386987962620,887734691721,853500000000,2904921902350,602090910044,138740458505,1680206970951,,190729623214,1222723198930.0,,,15124027565,7067194933571,5204790495056,4616542505327,588247989729,1862404438515,1862404438515,,599447392798,,0,7067194933571,247807170880,,620664970386,0.0,100000000000.0,1143858790000,1143858790000,572917389729,412903727151,1052105942834,,12306679405,,,0,
CTR,2024,3,5239127107685,751313476244,788000000000,3022792834545,603205405925,73815390971,1482203051754,,208595244813,1101472373471.0,,,28803934639,6721330159439,5030727719732,4487684219155,543043500577,1690602439707,1690602439707,,442379307858,,0,6721330159439,215704310425,,621911225208,0.0,100000000000.0,1143858790000,1143858790000,528199500577,335069008651,984508230014,,26025849486,,,0,
CTR,2024,2,5297072410811,611053287034,797000000000,3134513452270,651784036523,102721634984,1467737605466,,231365891006,982108087181.0,,,22705019888,6764810016277,4891391836486,4402231970978,489159865508,1873418179791,1873418179791,,606643039673,,0,6764810016277,207724087090,,670500514494,0.0,100000000000.0,1143858790000,1143858790000,473876065508,351722551197,1109263357728,,22514268082,,,0,
CTR,2024,1,5188825121846,394218254845,845000000000,2959374361754,895787388319,94445116928,1459910071135,,259645484980,898625572298.0,,,36147663198,6648735192981,4753538671789,4335130170901,418408500888,1895196521192,1895196521192,,709638025410,,0,6648735192981,198624397033,,914640785093,0.0,0.0,1143858790000,1143858790000,403420500888,245971425860,1279463314449,,35454161541,,,0,
CTR,2023,4,5627168242619,817851176502,1000000000000,2944779856337,783427189358,81110020422,1301931686640,,284556699923,829293428954.0,,,35650851166,6929099929259,4938347117084,4540668097741,397679019343,1990752812175,1990752812175,,824162129082,,0,6929099929259,249244604125,,802280586132,0.0,0.0,1143858790000,1143858790000,383015019343,660847773848,1190586227884,,34957349509,,,0,
CTR,2023,3,5579520049832,572373920465,1082000000000,3109888464716,750141854235,65115810416,1293710008383,,299164005296,756741152266.0,,,31891041357,6873230058215,5048282045311,4715010603868,333271441443,1824948012904,1824948012904,,668564411568,,46501592,6873230058215,193289033344,,769668352081,0.0,0.0,1143858790000,1143858790000,318613441443,457878847546,1231191083213,,31891041357,,,0,
CTR,2023,2,4998044633444,454375783681,1122000000000,2731315012396,614458875344,75894962023,1123979247986,,318863941672,679896422741.0,,,20940729526,6122023881430,4455344335120,4137956542504,317387792616,1666679546310,1666679546310,,520392276406,,81332745,6122023881430,144902008261,,633985373190,0.0,0.0,1143858790000,1143858790000,303167792616,388898087624,1150639363861,,20940729526,,,0,
CTR,2023,1,4992834629282,292232003919,1334000000000,2475145665046,824846832556,66610127761,1163007666718,,344289788465,617973915540.0,,,20321896950,6155842296000,4406048735534,4097906762834,308141972700,1749793560466,1749793560466,,584982268503,,48749235,6155842296000,143818793612,,845746479300,0.0,0.0,1143858790000,1143858790000,293963972700,498624885468,1242877800009,,20321896950,,,0,
CTR,2022,4,5021603120964,413861121979,1222000000000,2398990586984,898075774776,88675637225,1043050943334,,372855303124,562548375246.0,,,14021215344,6064654064298,4439089004306,4119247225786,319841778520,1625565059992,1625565059992,,476368145418,,31731621,6064654064298,150982693159,,918975421520,0.0,0.0,1143858790000,1143858790000,305594778520,405502367471,1159921164726,,14021215344,,,0,
CTR,2022,3,4090305705411,600283471954,507000000000,2265137244296,655237316941,62647672220,1066013926706,,393867253458,522312349208.0,,,14537153315,5156319632117,3658072261567,3416172023347,241900238220,1498247370550,1498247370550,,352946165043,,33183442,5156319632117,180375520759,,676136963685,0.0,0.0,1143858790000,1143858790000,227509238220,340091600032,348281055361,,14021215344,,,0,
CTR,2022,2,3350663631657,610407308898,100000000000,1943025219090,626172725317,71058378352,969874275176,,419306404141,445803740940.0,,,10579823064,4320537906833,2969399996913,2801304316901,168095680012,1351137909920,1351137909920,,224467602444,,38137556,4320537906833,123967625981,,647072372061,0.0,0.0,1143858790000,1143858790000,154037680012,356359173901,41876454285,,9094399452,,,0,
CTR,2022,1,2963715792528,549130669207,100000000000,1672862780232,572396405165,69325937924,998048661218,,434698507175,391716036201.0,,,16541521427,3961764453746,2558388278461,2388591645310,169796633151,1403376175285,1403376175285,,486226307601,,31610814,3961764453746,102971774460,,593296051909,0.0,0.0,929238730000,929238730000,156002633151,226973129803,18829707461,,14389054631,,,0,
CTR,2021,4,3033540022961,666444292485,100000000000,1624296850035,566858359417,75940521024,944137245546,,461396926481,363686202129.0,,,16436927376,3977677268507,2664852478483,2501545607183,163306871300,1312824790024,1312824790024,,401669823951,,23589424,3977677268507,98030817134,,587758006161,0.0,0.0,929238730000,929238730000,149539871300,264243582882,30579707461,,14383435769,,,0,
CTR,2021,3,2889104474630,748227455616,100000000000,1490646225102,516971286764,33259507148,910557239660,,480512249674,320838780403.0,,,18701251369,3799661714290,2611634551727,2468441409020,143193142707,1188027162563,1188027162563,,271253771735,,19042480,3799661714290,89240062438,,541227506269,0.0,0.0,929238730000,929238730000,143193142707,178393768614,12915379537,,18034112136,,,0,
CTR,2021,2,3002394269234,880600432877,0,1480043011374,602583904992,39166919991,876087619886,,504698546017,247404024783.0,,,18264125142,3878481889120,2780803588038,2675453017039,105350570999,1097678301082,1097678301082,,179698921687,,9364066,3878481889120,122129526719,,626840124497,0.0,0.0,929238730000,929238730000,105350570999,243627552892,44301368968,,17681933015,,,0,
CTR,2021,1,2766631422678,605017194239,0,1562221516401,557005360178,42387351860,808140586335,,521758236145,218483041904.0,,,17908419916,3574772009013,2431739403849,2351837406407,79901997442,1143032605164,1143032605164,,374748151235,,22824988,3574772009013,88757318633,,580387025971,0.0,48685143842.0,717818280000,717818280000,79901997442,255057225989,24750000000,,17400806704,,,0,
CTR,2020,4,3056767802848,504705162343,0,1843047507338,667959353675,41055779492,824056531788,,375767350555,203691006928.0,,,27732270564,3880824334636,2820405583376,2773104183131,47301400245,1060418751260,1060418751260,,302796021468,,23244111,3880824334636,102634371239,,691341019468,0.0,48685143842.0,717818280000,717818280000,47301400245,298820444341,0,,26862324024,,,0,
